product_name,product_number,price,discount_price
Brick Separator,630,155,0
Series 22,71032,218,0
tbd-Minifigures-Series-23-2022,71034,217,0
Character Packs – Series 4,71402,85,0
Extra DOTS Series 7 - SPORT,41958,16,0
The Muppets,71033,266,0
Extra DOTS – Series 6,41946,46,0
Rainbow Bracelet with Charms,41953,54,0
Creative Blue Bricks,11006,,0
Into the Deep Bracelets with Charms,41942,140,0
Mickey Mouse & Minnie Mouse Stitch-on Patch,41963,25,0
Creative White Bricks,11012,140,0
Stitch-on Patch,41955,50,0
Adhesive Patch,41954,155,0
Demolition Stunt Bike,60297,29,0
Selfie Stunt Bike,60309,53,0
Chicken Stunt Bike,60310,36,0
tbd-LEAF-15-2022,71410,2460,0
Rocket Stunt Bike,60298,38,0
Reckless Scorpion Stunt Bike,60332,34,0
Creative Monsters,11017,44,0
Bathtub Stunt Bike,60333,38,0
White Baseplate,11026,42,0
Blue Baseplate,11025,59,0
Green Baseplate,11023,,0
Super Robot,31124,57,0
Cyber Drone,31111,43,0
Dolphin and Turtle,31128,49,0
Police Car,60312,56,0
Miles Morales: Spider-Man’s Techno Trike,10781,78,0
Zane’s Power Up Mech EVO,71761,50,0
The Creeper™ Ambush,21177,77,0
Police Motorcycle,10967,249,0
Bath Time Fun: Floating Red Panda,10964,,0
Wild Animals of Africa,10971,54,0
Pony-Washing Stable,41696,59,0
Mobile Fashion Boutique,41719,45,0
Motorcycle,42132,1099,0
Anna’s Castle Courtyard,43198,52,0
Light,88005,133,0
Elsa’s Castle Courtyard,43199,69,0
Telehandler,42133,94,0
tbd-LSH-12-2022,76212,2867,0
Mickey Mouse's Propeller Plane,10772,,0
Fire Helicopter & Police Car,10957,105,0
Turtle Protection Vehicle,41697,56,0
Forest Waterfall,41677,81,0
Wildlife Rescue ATV,60300,69,0
Sports Car,31100,58,0
Cat Grooming Car,41439,,0
Pet Clinic Ambulance,41694,56,0
Fire Helicopter,60318,169,0
Stunt Plane,60323,69,0
Chicken Henhouse,60344,57,0
Race Car,60322,154,0
Kai's Spinjitzu Ninja Training,70688,82,0
Jay's Spinjitzu Ninja Training,70690,93,0
Lloyd's Spinjitzu Ninja Training,70689,81,0
Frog Mario Power-Up Pack,71392,49,0
Bee Mario Power-Up Pack,71393,49,0
Bowser Jr.'s Clown Car Expansion Set,71396,49,0
Kai's Blade Cycle,71734,88,0
tbd-LEAF-9-2022,71404,57,0
The Razor Crest™ Microfighter,75321,97,0
Eternals’ Aerial Assault,76145,130,0
Wolverine Mech Armor,76202,79,0
Iron Man Mech Armor,76203,69,0
Off-road Buggy,31123,725,0
Black Panther Mech Armor,76204,56,0
Gray Baseplate,11024,148,0
Fantasy Forest Creatures,31125,51,0
LEGO® DUPLO® Green Building Plate,10980,79,0
LEGO® Creative Bricks,10692,140,0
Heartlake City Pizzeria,41705,61,0
Elsa and the Nokk’s Ice Stable,43209,81,0
Mighty Dinosaurs,31058,123,0
Olivia's Electric Car,41443,67,0
tbd-LSH-19-2022,76220,263,0
Neon Tiger Bracelet & Bag Tag,41945,58,0
Wild Lion,31112,73,0
Picnic in the park,60326,100,0
Candy Kitty Bracelet & Bag Tag,41944,55,0
Creative Ocean Fun,11018,92,0
Street Racer,31127,97,0
Supersonic-jet,31126,90,0
Batman™ & Selina Kyle™ Motorcycle Pursuit,76179,180,0
Ice-Cream Truck,41715,149,0
Cement Mixer Truck,60325,76,0
Holiday Camper Van,60283,86,0
Jay’s Thunder Dragon EVO,71760,75,0
Creative Suitcase,10713,102,0
Mickey Mouse and Minnie Mouse's Camping Trip,10777,107,0
Heart Box,10909,99,0
Hulk vs. Rhino Truck Showdown,10782,105,0
Dinosaur Nursery,10938,200,0
Train Tracks,10882,999,0
Number Train - Learn To Count,10954,139,0
Bath Time Fun: Floating Animal Train,10965,57,0
Belle's Ballroom,10960,106,0
Wild Animals of the Ocean,10972,98,0
Doctor Visit,10968,92,0
Cute Banana Pen Holder,41948,109,0
Recycling Truck,41712,50,0
The Fox Lodge,21178,114,0
The Mushroom House,21179,129,0
Message Board,41951,145,0
Cute Panda Tray,41959,79,0
Tracks,60205,649,0
Monster Jam™ Megalodon™,42134,106,0
Road Plates,60304,87,0
Tractor,60287,99,0
Switch Tracks,60238,67,0
Monster Jam™ El Toro Loco™,42135,131,0
The Shark Attack Stunt Challenge,60342,87,0
Jay's Golden Dragon Motorbike,71768,105,0
The Knockdown Stunt Challenge,60341,67,0
Attack on New Asgard,76207,111,0
Hogwarts™ Carriage and Thestrals,76400,119,0
Zyclops Chase,76830,79,0
Snowtrooper™ Battle Pack,75320,114,0
Pteranodon Chase,76943,91,0
Atrociraptor Dinosaur: Bike Chase,76945,113,0
Minnie Mouse's Ice Cream Shop,10773,,0
Mickey Mouse & Minnie Mouse's Space Rocket,10774,76,0
Bricks and Houses,11008,746,0
The Horse Stable,21171,149,0
Superbike,31114,317,0
The Panda Nursery,21158,130,0
Pet Playground,41698,97,0
Magical Acrobatics,41686,129,0
Pencil Holder,41936,128,0
Antonio's Magical Door,43200,89,0
Monster Jam™ Max-D™,42119,126,0
Lots of DOTS,41935,129,0
Elsa and the Nokk Storybook Adventures,43189,109,0
Isabela's Magical Door,43201,109,0
Stunt Competition,60299,315,0
The Blade Stunt Challenge,60340,106,0
Jay's Electro Mech,71740,121,0
Lloyd's Hydro Mech,71750,,0
Lloyd's Jungle Chopper Bike,71745,133,0
Deviant Ambush!,76154,80,0
Spider-Man vs. Mysterio’s Drone Attack,76184,117,0
Duel on Mandalore™,75310,160,0
Spider-Man’s Drone Duel,76195,117,0
Black Panther Dragon Flyer,76186,135,0
McLaren Elva,76902,157,0
Koenigsegg Jesko,76900,117,0
Spider-Man & Green Goblin Mech Battle,76219,190,0
Toyota GR Supra,76901,114,0
Space Shuttle Mission,10944,1089,0
The Guardian Battle,21180,132,0
Big Box,41960,115,0
007 Aston Martin DB5,76911,102,0
The Bakery,21184,122,0
1970 Ferrari 512 M,76906,84,0
LEGO® City Advent Calendar,60352,,0
Lamborghini Countach,76908,108,0
Fast & Furious 1970 Dodge Charger R/T,76912,102,0
LEGO® Friends Advent Calendar,41706,239,0
Tree-Planting Vehicle,41707,123,0
Horse Transporter,60327,95,0
Rescue Helicopter Transport,60343,89,0
The Muppets 6 pack,71035,166,0
tbd-Minifigures-Series-23-6-pack-2022,71036,345,0
Kai’s Fire Dragon EVO,71762,19,0
LEGO® Medium Creative Brick Box,10696,105,0
Creative Transparent Bricks,11013,137,0
Brick Box,10913,694,0
Fire Rescue & Police Chase,60319,134,0
Fire Truck,10969,81,0
Bricks and Functions,11019,202,0
The Skeleton Dungeon,21189,176,0
Ice Cream Truck Police Chase,60314,133,0
Mickey & Friends Bracelets Mega Pack,41947,178,0
