product_name,product_number,price,discount_price
The Muppets,71033,266,0
Extra DOTS – Series 6,41946,46,0
Series 22,71032,218,0
Brick Separator,630,155,0
Adhesive Patch,41954,155,0
Character Packs – Series 4,71402,85,0
Rainbow Bracelet with Charms,41953,54,0
Fire Stunt Bike,60311,38,0
Reckless Scorpion Stunt Bike,60332,34,0
Rocket Stunt Bike,60298,38,0
White Baseplate,11026,42,0
Pony-Washing Stable,41696,59,0
Mickey Mouse's Propeller Plane,10772,,0
Cat Grooming Car,41439,,0
Supersonic-jet,31126,90,0
Cute Banana Pen Holder,41948,109,0
Toyota GR Supra,76901,114,0
LEGO® City Advent Calendar,60352,,0
Bricks and Functions,11019,202,0
Batmobile™: The Penguin™ Chase,76181,138,0
