product_name,product_number,price
Creative White Bricks,11012,
Character Packs – Series 4,71402,
Extra DOTS – Series 6,41946,
tbd-Minifigures-Series-23-2022,71034,
Creative Blue Bricks,11006,
Series 22,71032,202.04
Extra DOTS Series 7 - SPORT,41958,
Brick Separator,630,
Into the Deep Bracelets with Charms,41942,
Gamer Bracelet with Charms,41943,
Rainbow Bracelet with Charms,41953,
Adhesive Patch,41954,
Stitch-on Patch,41955,
Demolition Stunt Bike,60297,
Mickey Mouse & Minnie Mouse Stitch-on Patch,41963,
Wheelie Stunt Bike,60296,
Rocket Stunt Bike,60298,
Selfie Stunt Bike,60309,
Touring Stunt Bike,60331,
Fire Stunt Bike,60311,
Reckless Scorpion Stunt Bike,60332,
Bathtub Stunt Bike,60333,
tbd-LEAF-15-2022,71410,
Chicken Stunt Bike,60310,
Creative Monsters,11017,
Super Robot,31124,174.97
Cyber Drone,31111,
Dolphin and Turtle,31128,
Police Car,60312,31.20
Zane’s Power Up Mech EVO,71761,
Miles Morales: Spider-Man’s Techno Trike,10781,
Bath Time Fun: Floating Red Panda,10964,
Police Motorcycle,10967,50.89
Wild Animals of Africa,10971,
Mobile Fashion Boutique,41719,
Pony-Washing Stable,41696,
tbd-LSH-12-2022,76212,
Elsa’s Castle Courtyard,43199,
Anna’s Castle Courtyard,43198,
Light,88005,56.65
Sports Car,31100,96.77
Cat Grooming Car,41439,
Pet Clinic Ambulance,41694,
Turtle Protection Vehicle,41697,
Forest Waterfall,41677,
Fire Helicopter & Police Car,10957,119.95
Wildlife Rescue ATV,60300,
Fire Helicopter,60318,
Chicken Henhouse,60344,
Stunt Plane,60323,
Race Car,60322,320.30
Kai's Spinjitzu Ninja Training,70688,
Jay's Spinjitzu Ninja Training,70690,
Frog Mario Power-Up Pack,71392,
Lloyd's Spinjitzu Ninja Training,70689,
Bee Mario Power-Up Pack,71393,
Lloyd's Ninja Mech,71757,
Kai's Blade Cycle,71734,
Bowser Jr.'s Clown Car Expansion Set,71396,
tbd-LEAF-9-2022,71404,
Wolverine Mech Armor,76202,
Iron Man Mech Armor,76203,
Black Panther Mech Armor,76204,
The Razor Crest™ Microfighter,75321,
Fantasy Forest Creatures,31125,
Off-road Buggy,31123,
LEGO® DUPLO® Green Building Plate,10980,
Wild Lion,31112,
Elsa and the Nokk’s Ice Stable,43209,
tbd-LSH-19-2022,76220,
Mighty Dinosaurs,31058,79.00
Olivia's Electric Car,41443,
Candy Kitty Bracelet & Bag Tag,41944,
Neon Tiger Bracelet & Bag Tag,41945,
Picnic in the park,60326,
Batman™ & Selina Kyle™ Motorcycle Pursuit,76179,
Supersonic-jet,31126,
Ice-Cream Truck,41715,
Street Racer,31127,
Holiday Camper Van,60283,
Jay’s Thunder Dragon EVO,71760,
Cement Mixer Truck,60325,
Hulk vs. Rhino Truck Showdown,10782,
Mickey Mouse and Minnie Mouse's Camping Trip,10777,
Heart Box,10909,
Dinosaur Nursery,10938,
Train Tracks,10882,14.77
Number Train - Learn To Count,10954,
Bath Time Fun: Floating Animal Train,10965,
Belle's Ballroom,10960,
Wild Animals of the Ocean,10972,
Cute Banana Pen Holder,41948,
Doctor Visit,10968,
The Fox Lodge,21178,
Recycling Truck,41712,
Lots of DOTS – Lettering,41950,
Message Board,41951,
Cute Panda Tray,41959,
Switch Tracks,60238,
Monster Jam™ El Toro Loco™,42135,
Road Plates,60304,
Monster Jam™ Megalodon™,42134,
The Knockdown Stunt Challenge,60341,
The Shark Attack Stunt Challenge,60342,
Jay's Golden Dragon Motorbike,71768,
Attack on New Asgard,76207,
Snowtrooper™ Battle Pack,75320,
Pteranodon Chase,76943,
Hogwarts™ Carriage and Thestrals,76400,
Zyclops Chase,76830,
Mickey Mouse & Minnie Mouse's Space Rocket,10774,
Atrociraptor Dinosaur: Bike Chase,76945,
Garbage Truck and Recycling,10945,
The Panda Nursery,21158,
Minnie Mouse's Ice Cream Shop,10773,111.31
Pet Clinic,41695,
The Horse Stable,21171,
Magical Acrobatics,41686,
Pet Playground,41698,
Lots of DOTS,41935,
Pencil Holder,41936,111.00
